Tahun,Majene,Polewali_mandar,Mamasa,Mamuju,Pasangkayu,Mamuju_tengah
2006,23.5,27.65,25.92,11.96,11.04,20.014
2007,23.55,24.96,25.51,10.43,9.22,18.734
2008,18.44,21.8,18.06,8.11,6.52,14.586
2009,18.09,21.37,17.87,8.13,6.47,14.386
2010,18.42,21.24,16.25,8.17,6.2,14.056
2011,17.06,19.66,15.04,7.59,5.77,13.024
2012,16.51,19.09,14.38,7.11,5.3,12.478
2013,15.26,18.02,13.92,6.81,4.71,11.744
2014,15.05,17.79,13.82,6.72,4.65,11.606
2015,15.57,18.22,14.71,6.7,4.99,6.86
2016,14.89,17.06,13.9,6.48,4.82,6.83
2017,13.94,16.05,13.51,6.88,4.84,6.95
2018,13.79,15.97,13.38,7.18,4.53,7.14
2019,13.72,15.6,13.42,7.06,4.28,6.87
2020,13.73,15.26,13.38,6.92,4.48,6.79
2021,14.34,15.68,13.77,7.46,4.77,7.13
2022,15.13,16.39,14.51,7.63,5.09,7.17
2023,14.54,16.08,14.31,7.57,4.79,7.32
